Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Bombay Sweets & Bakery LLC,"Amman St, Al Nahda",Dubai,234872,04-2398901,050-8684110,https://www.yellowpages-uae.com/uae/restaurant/bombay-sweets-bakery-llc-68527.html,
Bon Appetit,Sh zayed road,Dubai,,04-3438311,,https://www.yellowpages-uae.com/uae/restaurant/bon-appetit-68467.html,
Bon Food LLC,Madinat Zayed Shopping Complex,Abu Dhabi,27425,02-6339497,,https://www.yellowpages-uae.com/uae/restaurant/bon-food-llc-107877.html,
Bonfood Restaurant,"Grand Shopping Mall, Al Quoz",Dubai,72253,04-3380807,,https://www.yellowpages-uae.com/uae/restaurant/bonfood-restaurant-150961.html,
Bonna Annee,Salam Street,Abu Dhabi,,02-4912128,,https://www.yellowpages-uae.com/uae/restaurant/bonna-annee-175651.html,
Bonsai Japanese Restaurant,Sh Tahnoon Rd,Abu Dhabi,42776,02-4434807,,https://www.yellowpages-uae.com/uae/restaurant/bonsai-japanese-restaurant-125513.html,
Bord Eau,"Shangri La, Al Maqta",Abu Dhabi,,02-5098888,,https://www.yellowpages-uae.com/uae/restaurant/bord-eau-175735.html,
Bottega,"Sofitel Dubai, The Palm",Dubai,,04-4556677,,https://www.yellowpages-uae.com/uae/restaurant/bottega-175635.html,
Bounty Bar,Liwa,Abu Dhabi,,02-5629100,,https://www.yellowpages-uae.com/uae/restaurant/bounty-bar-148064.html,
Bowling City,"4th Floor, Al Mariah Cinema Complex, Hamdan St",Abu Dhabi,52203,02-6760444,,https://www.yellowpages-uae.com/uae/restaurant/bowling-city-58040.html,
Brasserie Angelique,Jumeirah At Etihad Towers,Abu Dhabi,,02-8115666,,https://www.yellowpages-uae.com/uae/restaurant/brasserie-angelique-175678.html,
Brasserie Quartier,"Habtoor City, Shk Zayed Road",Dubai,,04-4355577,,https://www.yellowpages-uae.com/uae/restaurant/brasserie-quartier-175806.html,
Brauhaus,"Beach Rotana, Al Zahiyah",Abu Dhabi,,02-6979011,,https://www.yellowpages-uae.com/uae/restaurant/brauhaus-175679.html,
Bread Street Kitchen,"Atlantis, The Palm",Dubai,,04-4262626,,https://www.yellowpages-uae.com/uae/restaurant/bread-street-kitchen-175807.html,
Breakfast To Breakfast,"Al Riqqa St, Deira",Dubai,14831,04-2223011,,https://www.yellowpages-uae.com/uae/restaurant/breakfast-to-breakfast-108224.html,
Brick Lane,Al Barsha 1,Dubai,,04-3996786,,https://www.yellowpages-uae.com/uae/restaurant/brick-lane-146562.html,
Bright Moon Restaurant,"Opp Al Rolla Pharmacy, Rolla Rd, Bur Dubai",Dubai,,04-3939105,050-2822890,https://www.yellowpages-uae.com/uae/restaurant/bright-moon-restaurant-175223.html,
Broccoli Pizza & Pasta,Tecom,Dubai,,04-4390305,,https://www.yellowpages-uae.com/uae/restaurant/broccoli-pizza-pasta-148175.html,
Brummanah Restaurant,Garhoud,Dubai,60939,04-2501550,,https://www.yellowpages-uae.com/uae/restaurant/brummanah-restaurant-145451.html,
Brunei Restaurant,"Bhnd Post Office, Satwa",Dubai,34541,04-3420203,,https://www.yellowpages-uae.com/uae/restaurant/brunei-restaurant-129428.html,
Brunello,"Kempenski Hotel, The Palm",Dubai,,04-4442501,,https://www.yellowpages-uae.com/uae/restaurant/brunello-175808.html,
Brunswick Sports Club,Mall Of The Emirates,Dubai,,056-4040685,,https://www.yellowpages-uae.com/uae/restaurant/brunswick-sports-club-175809.html,
BU American Restaurant,"World Trade Centre Mall, Airport Road",Abu Dhabi,,02-6668066,,https://www.yellowpages-uae.com/uae/restaurant/bu-american-restaurant-175680.html,
Bu Qtair,Jumeirah Beach Road,Dubai,,055-7052130,,https://www.yellowpages-uae.com/uae/restaurant/bu-qtair-175748.html,
Bundoo Khan,Al Futtaim Rd,Dubai,,04-2336333,,https://www.yellowpages-uae.com/uae/restaurant/bundoo-khan-143128.html,
Bur Al Hickman Hospitality,,Dubai,49463,04-3808848,,https://www.yellowpages-uae.com/uae/restaurant/bur-al-hickman-hospitality-152102.html,
Burger & Lobster,DIFC,Dubai,,04-5148838,,https://www.yellowpages-uae.com/uae/restaurant/burger-lobster-175810.html,
Burger Joint New York,City Walk,Dubai,,04-3444459,,https://www.yellowpages-uae.com/uae/restaurant/burger-joint-new-york-175749.html,
Burj Al Khan Restaurant,Al Khan,Sharjah,,06-5546422,,https://www.yellowpages-uae.com/uae/restaurant/burj-al-khan-restaurant-148180.html,
Bushmans,The Palm,Dubai,,04-5678304,,https://www.yellowpages-uae.com/uae/restaurant/bushmans-175811.html,
Bussola,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina",Dubai,,04-3994141,,https://www.yellowpages-uae.com/uae/restaurant/bussola-175644.html,
Butcher & Still,"Four Seasons, Al Maryah",Abu Dhabi,,02-3332700,,https://www.yellowpages-uae.com/uae/restaurant/butcher-still-175681.html,
Cactus Jacks,"Millenium Airport Road Hotel, Al Garhoud",Dubai,,04-7028844,,https://www.yellowpages-uae.com/uae/restaurant/cactus-jacks-175638.html,
Caesar Garden Restaurant,Near Al Wahda Post Office,Sharjah,,06-5594140,050-2813466,https://www.yellowpages-uae.com/uae/restaurant/caesar-garden-restaurant-147328.html,
Caesar's Restaurant and Confectionery,"Opp Choithram S/Market, Electra St",Abu Dhabi,44514,02-6787244,056-5373990,https://www.yellowpages-uae.com/uae/restaurant/caesar-s-restaurant-and-confectionery-107719.html,
Caf Barbera,"Al Salam Tower, Dubai Media City",Dubai,,04-4468616,,https://www.yellowpages-uae.com/uae/restaurant/caf-barbera-102752.html,
Cafe,"The Walk, Jumeirah Beach Residence, JBR",Dubai,,04-4281551,,https://www.yellowpages-uae.com/uae/restaurant/caf--145303.html,
Cafe Arabesque,"Park Hyatt, Deira",Dubai,,04-3172222,,https://www.yellowpages-uae.com/uae/restaurant/cafe-arabesque-175641.html,
Cafe Arabia,,Abu Dhabi,,02-6439699,,https://www.yellowpages-uae.com/uae/restaurant/cafe-arabia-175636.html,
Cafe Belge,Ritz Carlton. DIFC,Dubai,,04-3722323,,https://www.yellowpages-uae.com/uae/restaurant/cafe-belge-175812.html,
Cafe Berlin Restaurant,"Grand Cinema Bldg, Al Buhaira Corniche",Sharjah,,06-5564564,,https://www.yellowpages-uae.com/uae/restaurant/cafe-berlin-restaurant-146792.html,
Cafe D Alsace,Yas Marina,Abu Dhabi,,02-4963412,,https://www.yellowpages-uae.com/uae/restaurant/cafe-d-alsace-168557.html,
Cafe Diego,Al Khubeirah,Abu Dhabi,,02-6772344,,https://www.yellowpages-uae.com/uae/restaurant/cafe-diego-175682.html,
Cafe Du Roi LLC,TCA,Abu Dhabi,25024,02-6816367,,https://www.yellowpages-uae.com/uae/restaurant/cafe-du-roi-llc-147167.html,
Cafe Julie,JLT,Dubai,,04-3649477,,https://www.yellowpages-uae.com/uae/restaurant/cafe-julie-147105.html,
Cafe Nikki,Pearl Jumeirah,Dubai,,04-3766000,,https://www.yellowpages-uae.com/uae/restaurant/cafe-nikki-175813.html,
Caliburger,Shk Zayed Road,Dubai,,800 2254,,https://www.yellowpages-uae.com/uae/restaurant/caliburger-175556.html,
Calicut Town Restaurant,"Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira",Dubai,,04-2698862,055-8803166,https://www.yellowpages-uae.com/uae/restaurant/calicut-town-restaurant-175332.html,
Can Can Brasserie,"Ritz Carlton, DIFC",Dubai,,04-3722222,,https://www.yellowpages-uae.com/uae/restaurant/can-can-brasserie-175814.html,
Canopy Restaurant,Hamdan St,Abu Dhabi,38541,02-6788036,,https://www.yellowpages-uae.com/uae/restaurant/canopy-restaurant-141445.html,
Cantina Laredo,"Khalidiya Mall, Khalidiya Street",Abu Dhabi,,600 561112,,https://www.yellowpages-uae.com/uae/restaurant/cantina-laredo-175633.html,
Canton Restaurant,,Sharjah,,06-5676310,050-8888317,https://www.yellowpages-uae.com/uae/restaurant/canton-restaurant-68558.html,
Capitol Hotel,"Al Mina Rd, Satwa",Dubai,33228,04-3460111,,https://www.yellowpages-uae.com/uae/restaurant/capitol-hotel-119224.html,
Captain Pastry,TCA,Abu Dhabi,,02-4452995,056-6678194,https://www.yellowpages-uae.com/uae/restaurant/captain-pastry-175589.html,
Caramel Restaurant & Lounge,Saadiyat Island,Abu Dhabi,,02-6783344,,https://www.yellowpages-uae.com/uae/restaurant/caramel-restaurant-lounge-175683.html,
Caravan Restaurant,Electra St,Abu Dhabi,42757,02-6393370,,https://www.yellowpages-uae.com/uae/restaurant/caravan-restaurant-110377.html,
Caribou Coffee,Dubai Mall LG,Dubai,,04-3399212,,https://www.yellowpages-uae.com/uae/restaurant/caribou-coffee-106902.html,
Caribou Coffee,Garhoud,Dubai,,04-2833577,,https://www.yellowpages-uae.com/uae/restaurant/caribou-coffee-147113.html,
Carlton Tower Hotel,"Creek Side, Baniyas St, Deira",Dubai,1955,04-2227111,,https://www.yellowpages-uae.com/uae/restaurant/carlton-tower-hotel-120188.html,
Carnival By Tresind,"Burj Daman Building, DIFC",Dubai,,04-4218665,,https://www.yellowpages-uae.com/uae/restaurant/carnival-by-tresind-175815.html,
Casa De Tapas,Dubai Creek Golf,Dubai,,04-4161800,,https://www.yellowpages-uae.com/uae/restaurant/casa-de-tapas-175816.html,
Castlerock Restaurant,Hamdan St,Abu Dhabi,55217,02-6348345,,https://www.yellowpages-uae.com/uae/restaurant/castlerock-restaurant-115016.html,
Catch Restaurant & Lounge,"Restaurant Unit 2, Nation Riviera, Nation Towers",Abu Dhabi,,02-6110909,,https://www.yellowpages-uae.com/uae/restaurant/catch-restaurant-lounge-168556.html,
Cavalli Club,"Farimont Hotel, Shk Zayed Road",Dubai,,04-3329260,,https://www.yellowpages-uae.com/uae/restaurant/cavalli-club-175817.html,
Cedar Lounge,Farimont Bab Al bahr,Abu Dhabi,,02-6543223,,https://www.yellowpages-uae.com/uae/restaurant/cedar-lounge-175684.html,
Cettinad Restaurant,Next to Abu Dhabi Flour Mill,Abu Dhabi,105777,02-6777699,,https://www.yellowpages-uae.com/uae/restaurant/cettinad-restaurant-122707.html,
Ceviche,"Emirates Financial Towers, DIFC",Dubai,,04-3266333,,https://www.yellowpages-uae.com/uae/restaurant/ceviche-175819.html,
Cha Cha Chai,"Amna Bldg, Near IT Plaza",Dubai,,04-3263261,050-4453487,https://www.yellowpages-uae.com/uae/restaurant/cha-cha-chai-175239.html,
Chaanakyas Restaurant LLLC,"Food Court, Al Khail Mall, Al Quoz",Dubai,,04-3306066,,https://www.yellowpages-uae.com/uae/restaurant/chaanakyas-restaurant-lllc-102754.html,
Chaavadi Restaurant,"ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel",Dubai,,04-3595057,055-8780083,https://www.yellowpages-uae.com/uae/restaurant/chaavadi-restaurant-175311.html,
Chai Chat,,Dubai,,04-3412331,050-6605689,https://www.yellowpages-uae.com/uae/restaurant/chai-chat-175366.html,
Chamas,"Ground floor, Intercontinental Hotel, Bainuna Street",Abu Dhabi,,02-6666888,,https://www.yellowpages-uae.com/uae/restaurant/chamas-175685.html,
Charleys Grilled Subs,Deira City Center,Dubai,32674,04-3520500,,https://www.yellowpages-uae.com/uae/restaurant/charleys-grilled-subs-119254.html,
Chatime,Electra and Salam Intersection,Abu Dhabi,,050-1275389,,https://www.yellowpages-uae.com/uae/restaurant/chatime-175529.html,
Chautari Restaurant,Bur Dubai,Dubai,242656,04-3571606,056-5080711,https://www.yellowpages-uae.com/uae/restaurant/chautari-restaurant-172962.html,
Chelsea Restaurant LLC,"Yasmin Bldg, Near Cricket Stadium",Sharjah,,06-5438400,,https://www.yellowpages-uae.com/uae/restaurant/chelsea-restaurant-llc-151049.html,
Chennai Restaurant LLC,Abu Shagara,Sharjah,35172,06-5542288,055-3677350,https://www.yellowpages-uae.com/uae/restaurant/chennai-restaurant-llc-175214.html,
Cherry Blossoms Restaurant LLC,Jebel Ali,Jebel Ali,4511,04-8847533,,https://www.yellowpages-uae.com/uae/restaurant/cherry-blossoms-restaurant-llc-149218.html,
Chettinadu City Restaurant,"Near Manama Supermarket, Kalba Rd",Sharjah,,06-5353596,,https://www.yellowpages-uae.com/uae/restaurant/chettinadu-city-restaurant-148172.html,
Chhappan Bhog Restaurant,Salam St,Abu Dhabi,7789,02-6778864,,https://www.yellowpages-uae.com/uae/restaurant/chhappan-bhog-restaurant-110354.html,
Chicken Corner,"Al Zahara St, Nasseria",Sharjah,38426,06-5640070,,https://www.yellowpages-uae.com/uae/restaurant/chicken-corner-148168.html,
Chicken Cottage,Jumeirah,Dubai,,04-4405994,,https://www.yellowpages-uae.com/uae/restaurant/chicken-cottage-146604.html,
Chicken Express Restaurant LLC,"Bhnd Bank Sedarat Iran, Rolla",Sharjah,,06-5686969,,https://www.yellowpages-uae.com/uae/restaurant/chicken-express-restaurant-llc-151046.html,
Chicken Street Cafeteria,"Behind Mashreq Bank, Electra Street",Abu Dhabi,,02-6794989,055-4883399,https://www.yellowpages-uae.com/uae/restaurant/chicken-street-cafeteria-175515.html,
Chicken Tikka Inn Restaurant,Near Qassimia R/A,Sharjah,1724,06-5749822,,https://www.yellowpages-uae.com/uae/restaurant/chicken-tikka-inn-restaurant-138545.html,
Chicking Fried Chicken,"Century Mall, Deira",Dubai,87548,04-2967232,,https://www.yellowpages-uae.com/uae/restaurant/chicking-fried-chicken-108096.html,
Chik Bites Restaurant & Cafe,"Damascus St,",Dubai,,04-2344994,052-5212137,https://www.yellowpages-uae.com/uae/restaurant/chik-bites-restaurant-cafe-175497.html,
Chin Chin,Dubai Marina,Dubai,,04-4503543,,https://www.yellowpages-uae.com/uae/restaurant/chin-chin-147396.html,
China Grill,Al Sufouh,Dubai,,04-5117333,,https://www.yellowpages-uae.com/uae/restaurant/china-grill-175624.html,
China Park,Al Nahda,Sharjah,,06-5313900,,https://www.yellowpages-uae.com/uae/restaurant/china-park-147580.html,
China Wind Restaurant,"Near Classic Computers, King Faisal Rd",Sharjah,49816,06-5723052,,https://www.yellowpages-uae.com/uae/restaurant/china-wind-restaurant-129364.html,
China Wok Restaurant,"Opp Dubai Grand Hotel, Bhnd Sunrise S/Market",Dubai,3132,04-2631590,056-4454068,https://www.yellowpages-uae.com/uae/restaurant/china-wok-restaurant-175207.html,
Chinchaaus Restaurant,"Amman St, Al Nahda 2",Dubai,,04-2510011,,https://www.yellowpages-uae.com/uae/restaurant/chinchaaus-restaurant-141979.html,
Chinese Star Restaurant,Al Wahda,Sharjah,,06-5720898,,https://www.yellowpages-uae.com/uae/restaurant/chinese-star-restaurant-146806.html,
Chival,The City Walk,Dubai,,04-4033111,,https://www.yellowpages-uae.com/uae/restaurant/chival-175820.html,
Choice Refreshment and Grills,"Behind ADNOC, Salam Street",Abu Dhabi,,02-6712151,050-8364765,https://www.yellowpages-uae.com/uae/restaurant/choice-refreshment-grills-175527.html,
Choice Restaurant,Old Passport Rd,Abu Dhabi,27207,02-6416587,,https://www.yellowpages-uae.com/uae/restaurant/choice-restaurant-135169.html,
Choice Restaurant,"Near Gulf Cinema, Al Nakheel",Ras Al Khaimah,4966,07-2226225,,https://www.yellowpages-uae.com/uae/restaurant/choice-restaurant-116323.html,
Choices,"Yas Island, Rotana Hotel",Abu Dhabi,,02-6564000,,https://www.yellowpages-uae.com/uae/restaurant/choices-142517.html,
Chops N Hopes Restaurant,"Behind Mall Of Emirates, Barsha 1",Dubai,37201,04-3654446,054-7181805,https://www.yellowpages-uae.com/uae/restaurant/chops-n-hopes-restaurant-175602.html,
Chowking,Al Nahda 2,Dubai,,04-2382837,,https://www.yellowpages-uae.com/uae/restaurant/chowking-110151.html,
Chowking Orient Restaurant,"G-39, Al Ghurair City, Deira",Dubai,285849,04-2288377,,https://www.yellowpages-uae.com/uae/restaurant/chowking-orient-restaurant-142989.html,
Chuck Wagon Restaurant - Pearl Hotel,Sh Rashid Palace Road,Umm Al Quwain,887,06-7666678,,https://www.yellowpages-uae.com/uae/restaurant/chuck-wagon-restaurant-pearl-hotel-15872.html,
Cinema New Restaurant,"SEWA Bldg, Near Sharjah Cinema, Al Mina Rd",Sharjah,167,06-5681006,,https://www.yellowpages-uae.com/uae/restaurant/cinema-new-restaurant-131468.html,
Cipriani,"Gate Village 10, Building 3, DIFC",Dubai,,04-3470003,,https://www.yellowpages-uae.com/uae/restaurant/cipriani-175631.html,
Circo,"Inter Continental, Al Bateen",Abu Dhabi,,02-6666888,,https://www.yellowpages-uae.com/uae/restaurant/circo-175686.html,
City Burger,Bhnd Al Mariya Cinema,Abu Dhabi,,02-6716788,,https://www.yellowpages-uae.com/uae/restaurant/city-burger-145579.html,
City Diamond Restaurant,"Near Super Bonanza Hypermarket, Al Quoz 2",Dubai,,04-3466617,,https://www.yellowpages-uae.com/uae/restaurant/city-diamond-restaurant-144270.html,
City Grill Restaurant,"Near Al Fahidi Souq, Street 33, Meena Bazar",Dubai,,04-3529277,056-8586655,https://www.yellowpages-uae.com/uae/restaurant/city-grill-restaurant-175289.html,
City House Restaurant,,Abu Dhabi,,02-6343060,,https://www.yellowpages-uae.com/uae/restaurant/city-house-restaurant-175505.html,
City King Restaurant,"Behind Lulu Centre, Salam Street",Abu Dhabi,,02-6778848,056-7033724,https://www.yellowpages-uae.com/uae/restaurant/city-king-restaurant-175550.html,
City Palace Restaurant,Khalifa St,Abu Dhabi,31912,02-6262762,,https://www.yellowpages-uae.com/uae/restaurant/city-palace-restaurant-131343.html,
City Restaurant,Satwa,Dubai,,04-3312380,,https://www.yellowpages-uae.com/uae/restaurant/city-restaurant-103618.html,
Classio Master Restaurant & Cafeteria,"Near Fahidi Metro Station, Musalla",Dubai,,04-3939732,055-5115772,https://www.yellowpages-uae.com/uae/restaurant/classio-master-restaurant-cafeteria-175577.html,
Claw BBQ,Downtown Dubai,Dubai,,04-4322300,,https://www.yellowpages-uae.com/uae/restaurant/claw-bbq-175822.html,
Cleopatra Restaurant - Ana Palace Hotel,"G Flr, Near Sabkha Bus Stn, Deira",Dubai,28490,04-2258899,,https://www.yellowpages-uae.com/uae/restaurant/cleopatra-restaurant-ana-palace-hotel-62622.html,
Clinton Street Baking Company,Downtown Dubai,Dubai,,04-4281331,,https://www.yellowpages-uae.com/uae/restaurant/clinton-street-baking-company-175750.html,
Coastal Butlers Restaurant LLC,Damascus Street,Dubai,,04-2884428,055-4468227,https://www.yellowpages-uae.com/uae/restaurant/coastal-butlers-restaurant-llc-175323.html,
Coco's Restaurant,Jumeirah Beach Residence,Dubai,32100,04-4243740,,https://www.yellowpages-uae.com/uae/restaurant/coco-s-restaurant-115488.html,
Colombo Restaurant,"Morejag New Mosque Rd, National Paint",Sharjah,70587,055-2912477,,https://www.yellowpages-uae.com/uae/restaurant/colombo-restaurant-148170.html,
Common Grounds,Dubai Marina,Dubai,,050-4781094,,https://www.yellowpages-uae.com/uae/restaurant/common-grounds-175751.html,
Comptoir 102,Jumeirah Beach Road,Dubai,,04-3854555,,https://www.yellowpages-uae.com/uae/restaurant/comptoir-102-175752.html,
Cook Hall,Al Habtoor City,Dubai,,04-4373333,,https://www.yellowpages-uae.com/uae/restaurant/cook-hall-175823.html,
Coopers Restaurant,"Park Rotana, Al Matar",Abu Dhabi,,02-6573333,,https://www.yellowpages-uae.com/uae/restaurant/coopers-restaurant-175687.html,
Corner Cafe,"X2 Tower, Ground Floor",Dubai,,04-4564984,055-8778176,https://www.yellowpages-uae.com/uae/restaurant/corner-cafe-175302.html,
Countryside,"Fakhruddin Executive Building, International City",Dubai,,800-2686879,,https://www.yellowpages-uae.com/uae/restaurant/countryside-67368.html,
Couqley,"Laguna Tower, JLT",Dubai,,04-5149339,,https://www.yellowpages-uae.com/uae/restaurant/couqley-175824.html,
Coya,,Dubai,,04-3169600,,https://www.yellowpages-uae.com/uae/restaurant/coya-175688.html,
Creek Restaurant,Al Nahda,Sharjah,,06-5365466,,https://www.yellowpages-uae.com/uae/restaurant/creek-restaurant-151064.html,
CuiScene,Farimont Bab Al Bahr,Abu Dhabi,,02-6543238,,https://www.yellowpages-uae.com/uae/restaurant/cuiscene-175690.html,
Culinary Boutique,Jumeirah 1,Dubai,,04-3450023,,https://www.yellowpages-uae.com/uae/restaurant/culinary-boutique-175825.html,
Curry Express,"Ramla Mall Food Court, DIP",Jebel Ali,,04-8847868,,https://www.yellowpages-uae.com/uae/restaurant/curry-express-147106.html,
"Curry House, The",Electra St,Abu Dhabi,44251,02-6328860,,https://www.yellowpages-uae.com/uae/restaurant/curry-house-the-130534.html,
Curry Leaf,"Al Mussalla Tower, Bur Dubai",Dubai,,04-3978940,,https://www.yellowpages-uae.com/uae/restaurant/curry-leaf-67689.html,
Curry Toast,"opposite BurJuman Centre, Bur Dubai",Dubai,,04-3547477,,https://www.yellowpages-uae.com/uae/restaurant/curry-toast-67374.html,
D Bar & Grill,Dubai World Trade Centre,Dubai,,050-7240471,,https://www.yellowpages-uae.com/uae/restaurant/d-bar-grill-175826.html,
Dai Pai Dong,,Abu Dhabi,,02-8135552,,https://www.yellowpages-uae.com/uae/restaurant/dai-pai-dong-175691.html,
Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence",Dubai,,04-4270268,,https://www.yellowpages-uae.com/uae/restaurant/dai-shi-dai-67690.html,
Daily Restaurant,Qusais,Dubai,32645,04-2673708,,https://www.yellowpages-uae.com/uae/restaurant/daily-restaurant-119209.html,
Dakshin,"Lotus Hotel, Opp Al Ghurair City",Dubai,,04-2278888,,https://www.yellowpages-uae.com/uae/restaurant/dakshin-67691.html,
Dalchini,,Abu Dhabi,,02-4917977,,https://www.yellowpages-uae.com/uae/restaurant/dalchini-145482.html,
Dallas Restaurant,"Bin Suloom Bldg, Al Shaab Colony, Deira",Dubai,83171,04-2691178,,https://www.yellowpages-uae.com/uae/restaurant/dallas-restaurant-132850.html,
Dar Al Mandi Restaurant Kitchen,"Near Al Safa Supermarket, Electra Street",Abu Dhabi,,02-6330066,056-8360200,https://www.yellowpages-uae.com/uae/restaurant/dar-al-mandi-restaurant-kitchen-175513.html,
Dar Ward Restaurant,Al Ittihad Road,Sharjah,83874,06-5222411,,https://www.yellowpages-uae.com/uae/restaurant/dar-ward-restaurant-175594.html,
Dasprakash Rest,"Near Day to Day, Karama",Dubai,111810,04-3965595,,https://www.yellowpages-uae.com/uae/restaurant/dasprakash-rest-128989.html,
Day Fresh Restaurant,"Bhnd Al Moosa Tower, Satwa",Dubai,205,04-3289488,,https://www.yellowpages-uae.com/uae/restaurant/day-fresh-restaurant-143702.html,
De La Costa,Saadiyat Island,Abu Dhabi,,02-6563500,,https://www.yellowpages-uae.com/uae/restaurant/de-la-costa-175692.html,
De Thali,Madinat Zayed,Abu Dhabi,,02-6278644,,https://www.yellowpages-uae.com/uae/restaurant/de-thali-145638.html,
Dean & Deluca,"Souk Al Bahar, Dubail Mall",Dubai,,04-4200336,,https://www.yellowpages-uae.com/uae/restaurant/dean-deluca-175753.html,
Deena Leena Restaurant,"Opp Concorde Cinema, Al Zahra St",Sharjah,28390,06-5617161,,https://www.yellowpages-uae.com/uae/restaurant/deena-leena-restaurant-115280.html,
Delhi Cafeteria,Al Qasimia Street,Sharjah,,06-5722828,050-2420943,https://www.yellowpages-uae.com/uae/restaurant/delhi-cafeteria-175575.html,
Delhi Darbar Bombay Restaurant,"Naif Rd, Deira",Dubai,34496,04-2356161,,https://www.yellowpages-uae.com/uae/restaurant/delhi-darbar-bombay-restaurant-117373.html,
Delhi Darbar Restaurant LLC,"Zabeel Rd, Karama",Dubai,34496,04-3347171,,https://www.yellowpages-uae.com/uae/restaurant/delhi-darbar-restaurant-llc-114029.html,
Delhi Karachi Restaurant,National Paints,Sharjah,,06-5343470,,https://www.yellowpages-uae.com/uae/restaurant/delhi-karachi-restaurant-146791.html,
Delhis deli,"Times Square Centre, Sh Zayed Rd",Dubai,,04-3234844,,https://www.yellowpages-uae.com/uae/restaurant/delhis-deli-143560.html,
Delicacy Sweets & Bakers LLC,"Shop 1, Al Nahda 2 building, Baghdad Street",Dubai,,04-2568664,,https://www.yellowpages-uae.com/uae/restaurant/delicacy-sweets-bakers-llc-175249.html,
Delicia Restaurant LLC,"Mussafah 10, Sanayya",Abu Dhabi,,02-5550071,,https://www.yellowpages-uae.com/uae/restaurant/delicia-restaurant-llc-145483.html,
Delight Calicut LLC,Oasis Center,Dubai,,04-3466706,,https://www.yellowpages-uae.com/uae/restaurant/delight-calicut-llc-145304.html,
Delphine Restaurant & Bar,"The H Dubai, Shk Zayed Road",Dubai,,04-5018623,,https://www.yellowpages-uae.com/uae/restaurant/delphine-restaurant-bar-175827.html,
Desi Max Restaurant & Sweets LLC,Near Etisalat Office,Dubai,,80033747,,https://www.yellowpages-uae.com/uae/restaurant/desi-max-restaurant-sweets-llc-175308.html,
Desl Hut Restaurant,"Behind Grand City Mall, Al Quoz Industrial Area 4",Dubai,,04-3383283,050-9098139,https://www.yellowpages-uae.com/uae/restaurant/desl-hut-restaurant-175547.html,
Dhaba Restaurant,"Behind Sunrise Supermarket, Al Qusais",Dubai,47351,04-2611685,055-8286907,https://www.yellowpages-uae.com/uae/restaurant/dhaba-restaurant-175226.html,
Dhe Chef,"Bhnd KM Trdg, Abu Shagara",Sharjah,,06-5445060,054-4478160,https://www.yellowpages-uae.com/uae/restaurant/dhe-chef-175649.html,
Diamond City Restaurant LLC,Mussafah 10,Abu Dhabi,,02-5553064,,https://www.yellowpages-uae.com/uae/restaurant/diamond-city-restaurant-llc-145336.html,
Dibba Bakes,Abu Shagara,Sharjah,,06-5348066,055-8752215,https://www.yellowpages-uae.com/uae/restaurant/dibba-bakes-175365.html,
Din Tai Fung,Mall Of The Emirates,Dubai,,04-2651288,,https://www.yellowpages-uae.com/uae/restaurant/din-tai-fung-175628.html,
Dine At Moonvalley BBQ Restaurant,"18B Street, Behind NBF Bank, Bur Dubai",Dubai,11893,04-3966412,056-9925992,https://www.yellowpages-uae.com/uae/restaurant/dine-at-moonvalley-bbq-restaurant-179088.html,
Diplomat Restaurant,"Bhnd Sharjah Water & Elec Dept Bldg, Mina Rd",Sharjah,2998,06-5696944,,https://www.yellowpages-uae.com/uae/restaurant/diplomat-restaurant-132400.html,
Diwan Al Badia,"Al Badia Golf Club, DFC",Dubai,,04-7011128,,https://www.yellowpages-uae.com/uae/restaurant/diwan-al-badia-67692.html,
Docklands,"Dhow Palace Hotel, Bur Dubai",Dubai,,04-3599992,,https://www.yellowpages-uae.com/uae/restaurant/docklands-67693.html,
Dome Cafe,"Bin Soughat Centre, Rashidiya",Dubai,6774,04-2844498,,https://www.yellowpages-uae.com/uae/restaurant/dome-cafe-145126.html,
Domino's Pizza,"Near Millenium Hotel, Corniche Rd",Sharjah,,06-5569909,,https://www.yellowpages-uae.com/uae/restaurant/domino-s-pizza-110778.html,
Doner Deli,Opposite Lulu Hypermarket,Dubai,,800 6936637,,https://www.yellowpages-uae.com/uae/restaurant/doner-deli-175352.html,
Doner Force,"X2 Tower, Lake View, Cluster X",Dubai,,80036723,,https://www.yellowpages-uae.com/uae/restaurant/doner-force-175261.html,
Doner Kebab,"Ground Level, SIT Tower,",Dubai,,04-3207767,056-1013332,https://www.yellowpages-uae.com/uae/restaurant/doner-kebab-175258.html,
Dosa Hut Restaurant,Al Manama Hyper Market,Fujairah,,09-2233474,052-4377155,https://www.yellowpages-uae.com/uae/restaurant/dosa-hut-restaurant-170734.html,
Dragon Bao Bao Cafeteria,"G-1, National Cinema Building, Hamdan Street, Al Markaziya",Abu Dhabi,,02-6742235,056-6699186,https://www.yellowpages-uae.com/uae/restaurant/dragon-bao-bao-cafeteria-176359.html,
Dukkan Falafel,,Jebel Ali,,04-8876220,,https://www.yellowpages-uae.com/uae/restaurant/dukkan-falafel-148057.html,
